participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.rating1,player.faceid,player.TPrating,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,,,,0,1,8,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,8,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,,,,0,1,9,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,9,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,,,,0,1,10,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,10,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,,,,0,1,11,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,11,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,,,,0,1,12,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,12,7oqc98xc,,,,,,1
