"","FaceID","ID","Participant","FirstRating","GroupRating","SecondRating","Feedback","Change","TimeStamp1","TimeStamp2"
"159",14,"ASDF1234",70,5,8,5,3,0,2020-05-11 10:49:57,2020-05-11 11:54:38
"160",14,"Astrid",38,1,3,2,2,1,2020-05-08 12:53:19,2020-05-09 13:27:16
"161",14,"Bøllemis",71,7,5,7,-2,0,2020-05-11 11:03:38,2020-05-11 12:05:46
"162",14,"Carmesin",45,3,1,3,-2,0,2020-05-08 17:09:27,2020-05-10 01:58:32
"163",14,"Christian Jacobsen",16,2,5,3,3,1,2020-05-07 17:23:10,2020-05-07 18:17:29
"164",14,"GOAT",44,6,3,3,-3,-3,2020-05-08 16:45:39,2020-05-08 18:12:03
"165",14,"Grandmasterflash",81,6,8,5,2,-1,2020-05-11 12:35:37,2020-05-12 22:27:46
"166",14,"havegang7",36,5,7,7,2,2,2020-05-08 12:04:55,2020-05-08 21:07:31
"167",14,"hejhejhund",52,5,3,3,-2,-2,2020-05-09 14:09:32,2020-05-10 09:58:15
"168",14,"Jesper",82,5,7,4,2,-1,2020-05-11 13:13:10,2020-05-11 15:34:50
"169",14,"Johanne",32,5,0,7,NA,2,2020-05-13 19:27:00,2020-05-13 21:01:36
"170",14,"Katrine",76,5,7,5,2,0,2020-05-11 11:26:24,2020-05-11 19:28:47
"171",14,"lilla",73,3,6,4,3,1,2020-05-11 11:12:11,2020-05-11 13:02:33
"172",14,"Llamaman",74,3,0,2,NA,-1,2020-05-11 11:16:30,2020-05-12 10:18:57
"173",14,"minime",97,7,7,4,0,-3,2020-05-12 08:19:30,2020-05-13 12:38:49
"174",14,"Misterperc",96,5,2,3,-3,-2,2020-05-12 08:14:46,2020-05-12 13:31:52
"175",14,"Moe",65,3,1,7,-2,4,2020-05-11 10:31:13,2020-05-12 16:28:24
"176",14,"Python",69,3,3,4,0,1,2020-05-11 10:37:55,2020-05-11 11:59:16
"177",14,"RBJ",47,2,4,6,2,4,2020-05-08 17:17:19,2020-05-09 12:56:32
"178",14,"Rensdyrlam",72,3,3,1,0,-2,2020-05-11 11:07:17,2020-05-11 13:45:45
"179",14,"rosenmeier",31,2,5,3,3,1,2020-05-13 17:39:40,2020-05-13 20:02:00
"180",14,"Sarah",54,7,4,4,-3,-3,2020-05-10 08:13:59,2020-05-10 10:46:01
"181",14,"SKJ",10,5,2,5,-3,0,2020-05-12 15:25:17,2020-05-12 16:45:15
"182",14,"Slowlydying",31,7,0,8,NA,1,2020-05-08 11:11:42,2020-05-09 09:54:54
"183",14,"SOJ",79,2,2,4,0,2,2020-05-11 11:35:22,2020-05-12 20:54:58
"184",14,"wtf",11,3,6,4,3,1,2020-05-12 15:38:57,2020-05-12 18:48:25
"185",15,"17",86,6,3,4,-3,-2,2020-05-11 14:33:33,2020-05-12 06:46:41
"186",15,"1879",95,4,6,5,2,1,2020-05-12 08:11:44,2020-05-12 12:42:31
"187",15,"1918",27,6,3,1,-3,-5,2020-05-08 09:59:25,2020-05-09 07:13:50
"188",15,"2205",84,6,0,5,NA,-1,2020-05-11 13:59:46,2020-05-12 06:45:37
"189",15,"4520",1,6,6,6,0,0,2020-05-07 13:26:05,2020-05-07 18:11:06
"190",15,"45bites",9,3,1,3,-2,0,2020-05-12 14:19:49,2020-05-12 17:32:36
"191",15,"6107",12,5,2,5,-3,0,2020-05-12 16:03:37,2020-05-12 17:33:36
"192",15,"9696",55,4,6,4,2,0,2020-05-10 12:43:53,2020-05-10 18:25:33
"193",15,"andrea",61,6,3,5,-3,-1,2020-05-11 10:19:49,2020-05-12 08:34:56
"194",15,"Asad",33,4,7,1,3,-3,2020-05-13 20:10:11,2020-05-13 21:28:24
"195",15,"ASDF1234",70,5,8,4,3,-1,2020-05-11 10:49:57,2020-05-11 11:54:38
"196",15,"Astrid",38,4,6,2,2,-2,2020-05-08 12:53:19,2020-05-09 13:27:16
"197",15,"Bøllemis",71,7,4,7,-3,0,2020-05-11 11:03:38,2020-05-11 12:05:46
"198",15,"Carmesin",45,4,4,5,0,1,2020-05-08 17:09:27,2020-05-10 01:58:32
"199",15,"Christian Jacobsen",16,5,8,4,3,-1,2020-05-07 17:23:10,2020-05-07 18:17:29
"200",15,"GOAT",44,3,6,4,3,1,2020-05-08 16:45:39,2020-05-08 18:12:03
"201",15,"Grandmasterflash",81,5,0,4,NA,-1,2020-05-11 12:35:37,2020-05-12 22:27:46
"202",15,"havegang7",36,5,0,6,NA,1,2020-05-08 12:04:55,2020-05-08 21:07:31
"203",15,"hejhejhund",52,6,6,4,0,-2,2020-05-09 14:09:32,2020-05-10 09:58:15
"204",15,"JakobBjerreKnudsen",75,4,0,5,NA,1,2020-05-11 11:16:46,2020-05-11 13:32:30
"205",15,"Jesper",82,2,2,2,0,0,2020-05-11 13:13:10,2020-05-11 15:34:50
"206",15,"Johanne",32,6,6,5,0,-1,2020-05-13 19:27:00,2020-05-13 21:01:36
"207",15,"Katrine",76,5,0,6,NA,1,2020-05-11 11:26:24,2020-05-11 19:28:47
"208",15,"lilla",73,5,2,4,-3,-1,2020-05-11 11:12:11,2020-05-11 13:02:33
"209",15,"Llamaman",74,4,2,5,-2,1,2020-05-11 11:16:30,2020-05-12 10:18:57
"210",15,"minime",97,7,5,5,-2,-2,2020-05-12 08:19:30,2020-05-13 12:38:49
"211",15,"Misterperc",96,3,1,3,-2,0,2020-05-12 08:14:46,2020-05-12 13:31:52
"212",15,"Moe",65,3,3,7,0,4,2020-05-11 10:31:13,2020-05-12 16:28:24
"213",15,"Python",69,6,3,6,-3,0,2020-05-11 10:37:55,2020-05-11 11:59:16
"214",15,"RBJ",47,1,3,6,2,5,2020-05-08 17:17:19,2020-05-09 12:56:32
"215",15,"Rensdyrlam",72,3,0,2,NA,-1,2020-05-11 11:07:17,2020-05-11 13:45:45
"216",15,"rosenmeier",31,4,7,4,3,0,2020-05-13 17:39:40,2020-05-13 20:02:00
"217",15,"Sarah",54,7,5,5,-2,-2,2020-05-10 08:13:59,2020-05-10 10:46:01
"218",15,"SKJ",10,6,4,6,-2,0,2020-05-12 15:25:17,2020-05-12 16:45:15
"219",15,"Slowlydying",31,8,8,8,0,0,2020-05-08 11:11:42,2020-05-09 09:54:54
"220",15,"SOJ",79,4,2,2,-2,-2,2020-05-11 11:35:22,2020-05-12 20:54:58
"221",15,"wtf",11,3,6,3,3,0,2020-05-12 15:38:57,2020-05-12 18:48:25
