"","FaceID","ID","FirstRating","GroupRating","SecondRating","Change","Feedback","Condition"
"466",21,"Johanne",6,4,7,1,-2,"Peri"
"467",21,"Katrine",6,4,5,-1,-2,"Peri"
"468",21,"lilla",5,5,4,-1,0,"Peri"
"469",21,"Llamaman",8,6,3,-5,-2,"Peri"
"470",21,"minime",6,8,2,-4,2,"Peri"
"471",21,"Misterperc",4,4,2,-2,0,"Peri"
"472",21,"Moe",7,4,7,0,-3,"Peri"
"473",21,"Python",3,6,4,1,3,"Peri"
"474",21,"RBJ",1,3,5,4,2,"Peri"
"475",21,"Rensdyrlam",4,7,1,-3,3,"Peri"
"476",21,"rosenmeier",3,0,3,0,NA,"Peri"
"477",21,"Sarah",5,7,3,-2,2,"Peri"
"478",21,"SKJ",6,6,7,1,0,"Peri"
"479",21,"Slowlydying",5,2,7,2,-3,"Peri"
"480",21,"SOJ",3,6,3,0,3,"Peri"
"481",21,"The cat",8,6,8,0,-2,"Peri"
"482",21,"wtf",3,6,2,-1,3,"Peri"
"483",22,"17",5,3,3,-2,-2,"Peri"
"484",22,"1879",4,1,3,-1,-3,"Peri"
"485",22,"1918",6,4,2,-4,-2,"Peri"
"486",22,"2205",6,4,6,0,-2,"Peri"
"487",22,"4520",3,0,2,-1,NA,"Peri"
"488",22,"45bites",2,4,3,1,2,"Peri"
"489",22,"6107",5,0,4,-1,NA,"Peri"
"490",22,"9696",2,4,2,0,2,"Peri"
"491",22,"andrea",5,7,3,-2,2,"Peri"
"492",22,"Asad",3,0,1,-2,NA,"Peri"
